status,strike_number,species,snake,strike_order,strike_occur_num,temp_treatment,snake_mass,snake_length,skin_temp,cloacal_temp,strike_latency,accurate,strike_dist,neck_max_vel,neck_max_acc,max_gape,max_gape_vel,max_gape_acc,max_gape_time
kinematic,149,CRSC,ARTEMIS,ARTEMIS_15C_1,1,15,388,860,14.9,17.4,59,NO,7.744,2.65,65.85,119,49.30939109,6158.257257,68
kinematic,150,CRSC,ARTEMIS,ARTEMIS_15C_2,NA,15,388,860,14.9,17.4,NA,NO,10.8,2.13,46.29,108,66.64661922,4410.378428,68
kinematic,152,CRSC,ARTEMIS,ARTEMIS_15C_4,NA,15,388,860,14.9,17.4,NA,YES,9.38,2.25,53.23,121,55.42607199,3637.548904,72
kinematic,7,CRSC,ARTEMIS,ARTEMIS_20C_2,NA,20,388,860,20.7,21.7,NA,NO,13.7,2.42,46.94,108,45.23736342,5800.333686,60
kinematic,88,CRSC,ARTEMIS,ARTEMIS_25C_1,1,25,388,860,25.8,25.6,1,YES,18.5,3.04,55.17,137,81.57494391,4472.267804,56
kinematic,89,CRSC,ARTEMIS,ARTEMIS_25C_2,NA,25,388,860,25.8,25.6,NA,YES,16.3,2.78,69.02,103,58.75022608,5079.573966,60
kinematic,90,CRSC,ARTEMIS,ARTEMIS_25C_3,NA,25,388,860,25.8,25.6,NA,YES,13.3,2.56,112.46,104,58.28422317,5456.270648,60
kinematic,102,CRSC,ARTEMIS,ARTEMIS_30C_1,1,30,388,860,28.2,31.3,1,YES,23,4.25,113.28,142,107.8896221,6155.4389,60
kinematic,103,CRSC,ARTEMIS,ARTEMIS_30C_2,NA,30,388,860,28.2,31.3,NA,NO POP,25,3.12,147.13,107,69.48539725,5246.788901,48
kinematic,104,CRSC,ARTEMIS,ARTEMIS_30C_3,NA,30,388,860,28.2,31.3,NA,NO POP,18,2.64,62.93,105,71.28570437,3563.789545,40
kinematic,51,CRSC,ARTEMIS,ARTEMIS_35C_1,1,35,388,860,34.3,36,3,SHORT,18,3.13,133.87,111,77.061697,11931.19626,56
kinematic,52,CRSC,ARTEMIS,ARTEMIS_35C_2,NA,35,388,860,34.3,36,NA,YES,8.701,2.97,89.44,132,90.30316097,6409.192843,40
kinematic,53,CRSC,ARTEMIS,ARTEMIS_35C_3,NA,35,388,860,34.3,36,NA,NO,34.5,3.72,118.75,133,98.51790216,5784.634275,72
